date,city,latitude,longitude,timezone,temp_max_celsius,temp_min_celsius,precipitation_mm,wind_speed_max_kmh,source_file,temp_range_celsius
2025-04-01,barrie,44.393673,-79.66312,America/Toronto,0.1,-5.4,0.0,18.5,barrie_weather_2026-04-12T17-07-49.json,5.5
2025-04-01,oshawa,43.90158,-79.09091,America/Toronto,3.1,-3.5,0.0,19.2,oshawa_weather_2026-04-12T17-07-49.json,6.6
2025-04-01,toronto,43.690685,-79.41174,America/Toronto,3.2,-2.6,0.0,16.3,toronto_weather_2026-04-12T17-07-49.json,5.800000000000001
2025-04-02,barrie,44.393673,-79.66312,America/Toronto,2.1,-4.2,5.4,34.1,barrie_weather_2026-04-12T17-07-49.json,6.300000000000001
2025-04-02,oshawa,43.90158,-79.09091,America/Toronto,2.4,-3.1,11.1,32.2,oshawa_weather_2026-04-12T17-07-49.json,5.5
2025-04-02,toronto,43.690685,-79.41174,America/Toronto,3.7,-0.9,13.7,32.1,toronto_weather_2026-04-12T17-07-49.json,4.6000000000000005
2025-04-03,barrie,44.393673,-79.66312,America/Toronto,15.9,2.5,13.8,32.0,barrie_weather_2026-04-12T17-07-49.json,13.4
2025-04-03,oshawa,43.90158,-79.09091,America/Toronto,20.0,2.8,12.0,29.6,oshawa_weather_2026-04-12T17-07-49.json,17.2
2025-04-03,toronto,43.690685,-79.41174,America/Toronto,19.2,3.6,10.4,29.1,toronto_weather_2026-04-12T17-07-49.json,15.6
2025-04-04,barrie,44.393673,-79.66312,America/Toronto,8.8,-1.5,0.0,19.9,barrie_weather_2026-04-12T17-07-49.json,10.3
2025-04-04,oshawa,43.90158,-79.09091,America/Toronto,11.0,-0.7,0.0,14.7,oshawa_weather_2026-04-12T17-07-49.json,11.7
2025-04-04,toronto,43.690685,-79.41174,America/Toronto,8.9,0.9,0.0,10.1,toronto_weather_2026-04-12T17-07-49.json,8.0
2025-04-05,barrie,44.393673,-79.66312,America/Toronto,8.6,3.1,5.4,21.9,barrie_weather_2026-04-12T17-07-49.json,5.5
2025-04-05,oshawa,43.90158,-79.09091,America/Toronto,11.4,3.4,9.5,23.9,oshawa_weather_2026-04-12T17-07-49.json,8.0
2025-04-05,toronto,43.690685,-79.41174,America/Toronto,12.1,3.5,4.8,24.6,toronto_weather_2026-04-12T17-07-49.json,8.6
2025-04-06,barrie,44.393673,-79.66312,America/Toronto,2.5,-1.8,0.0,26.1,barrie_weather_2026-04-12T17-07-49.json,4.3
2025-04-06,oshawa,43.90158,-79.09091,America/Toronto,5.8,-0.3,0.0,25.2,oshawa_weather_2026-04-12T17-07-49.json,6.1
2025-04-06,toronto,43.690685,-79.41174,America/Toronto,5.8,0.7,0.0,17.9,toronto_weather_2026-04-12T17-07-49.json,5.1
2025-04-07,barrie,44.393673,-79.66312,America/Toronto,6.3,-4.4,2.2,40.9,barrie_weather_2026-04-12T17-07-49.json,10.7
2025-04-07,oshawa,43.90158,-79.09091,America/Toronto,6.1,-3.4,0.3,34.6,oshawa_weather_2026-04-12T17-07-49.json,9.5
2025-04-07,toronto,43.690685,-79.41174,America/Toronto,6.2,-2.3,0.1,28.4,toronto_weather_2026-04-12T17-07-49.json,8.5
2025-04-08,barrie,44.393673,-79.66312,America/Toronto,-4.8,-8.8,2.7,39.7,barrie_weather_2026-04-12T17-07-49.json,4.000000000000001
2025-04-08,oshawa,43.90158,-79.09091,America/Toronto,-2.8,-6.9,0.4,37.5,oshawa_weather_2026-04-12T17-07-49.json,4.1000000000000005
2025-04-08,toronto,43.690685,-79.41174,America/Toronto,-1.6,-5.6,0.0,32.2,toronto_weather_2026-04-12T17-07-49.json,3.9999999999999996
2025-04-09,barrie,44.393673,-79.66312,America/Toronto,1.0,-7.9,0.0,16.7,barrie_weather_2026-04-12T17-07-49.json,8.9
2025-04-09,oshawa,43.90158,-79.09091,America/Toronto,4.6,-6.3,0.0,17.0,oshawa_weather_2026-04-12T17-07-49.json,10.899999999999999
2025-04-09,toronto,43.690685,-79.41174,America/Toronto,5.1,-4.0,0.0,13.7,toronto_weather_2026-04-12T17-07-49.json,9.1
2025-04-10,barrie,44.393673,-79.66312,America/Toronto,3.8,-4.0,1.1,16.2,barrie_weather_2026-04-12T17-07-49.json,7.8
2025-04-10,oshawa,43.90158,-79.09091,America/Toronto,3.7,-2.5,3.0,19.2,oshawa_weather_2026-04-12T17-07-49.json,6.2
2025-04-10,toronto,43.690685,-79.41174,America/Toronto,3.5,-0.5,3.3,23.8,toronto_weather_2026-04-12T17-07-49.json,4.0
2025-04-11,barrie,44.393673,-79.66312,America/Toronto,4.8,-0.2,1.3,12.8,barrie_weather_2026-04-12T17-07-49.json,5.0
2025-04-11,oshawa,43.90158,-79.09091,America/Toronto,4.8,0.9,1.4,17.3,oshawa_weather_2026-04-12T17-07-49.json,3.9
2025-04-11,toronto,43.690685,-79.41174,America/Toronto,5.4,1.2,0.4,15.3,toronto_weather_2026-04-12T17-07-49.json,4.2
2025-04-12,barrie,44.393673,-79.66312,America/Toronto,10.2,-2.0,0.0,10.6,barrie_weather_2026-04-12T17-07-49.json,12.2
2025-04-12,oshawa,43.90158,-79.09091,America/Toronto,10.1,0.3,0.0,13.4,oshawa_weather_2026-04-12T17-07-49.json,9.799999999999999
2025-04-12,toronto,43.690685,-79.41174,America/Toronto,8.7,1.5,0.6,10.4,toronto_weather_2026-04-12T17-07-49.json,7.199999999999999
2025-04-13,barrie,44.393673,-79.66312,America/Toronto,14.6,-1.0,0.0,12.9,barrie_weather_2026-04-12T17-07-49.json,15.6
2025-04-13,oshawa,43.90158,-79.09091,America/Toronto,13.9,0.2,0.0,13.2,oshawa_weather_2026-04-12T17-07-49.json,13.700000000000001
2025-04-13,toronto,43.690685,-79.41174,America/Toronto,11.9,1.4,0.0,11.7,toronto_weather_2026-04-12T17-07-49.json,10.5
2025-04-14,barrie,44.393673,-79.66312,America/Toronto,16.5,4.0,0.5,23.5,barrie_weather_2026-04-12T17-07-49.json,12.5
2025-04-14,oshawa,43.90158,-79.09091,America/Toronto,13.4,3.0,0.0,16.7,oshawa_weather_2026-04-12T17-07-49.json,10.4
2025-04-14,toronto,43.690685,-79.41174,America/Toronto,14.4,4.3,0.4,16.6,toronto_weather_2026-04-12T17-07-49.json,10.100000000000001
2025-04-15,barrie,44.393673,-79.66312,America/Toronto,6.5,0.3,2.2,31.0,barrie_weather_2026-04-12T17-07-49.json,6.2
2025-04-15,oshawa,43.90158,-79.09091,America/Toronto,9.6,1.9,2.8,30.1,oshawa_weather_2026-04-12T17-07-49.json,7.699999999999999
2025-04-15,toronto,43.690685,-79.41174,America/Toronto,10.9,2.2,0.6,28.1,toronto_weather_2026-04-12T17-07-49.json,8.7
2025-04-16,barrie,44.393673,-79.66312,America/Toronto,3.0,-1.1,1.1,35.7,barrie_weather_2026-04-12T17-07-49.json,4.1
2025-04-16,oshawa,43.90158,-79.09091,America/Toronto,4.7,0.1,0.0,34.1,oshawa_weather_2026-04-12T17-07-49.json,4.6000000000000005
2025-04-16,toronto,43.690685,-79.41174,America/Toronto,5.6,0.6,0.0,27.8,toronto_weather_2026-04-12T17-07-49.json,5.0
2025-04-17,barrie,44.393673,-79.66312,America/Toronto,11.1,-1.6,0.0,15.5,barrie_weather_2026-04-12T17-07-49.json,12.7
2025-04-17,oshawa,43.90158,-79.09091,America/Toronto,10.8,-1.2,0.0,15.6,oshawa_weather_2026-04-12T17-07-49.json,12.0
2025-04-17,toronto,43.690685,-79.41174,America/Toronto,9.4,-0.6,0.0,11.6,toronto_weather_2026-04-12T17-07-49.json,10.0
2025-04-18,barrie,44.393673,-79.66312,America/Toronto,19.2,4.3,11.8,20.8,barrie_weather_2026-04-12T17-07-49.json,14.899999999999999
2025-04-18,oshawa,43.90158,-79.09091,America/Toronto,17.4,1.9,1.3,18.6,oshawa_weather_2026-04-12T17-07-49.json,15.499999999999998
2025-04-18,toronto,43.690685,-79.41174,America/Toronto,17.1,3.0,1.8,19.4,toronto_weather_2026-04-12T17-07-49.json,14.100000000000001
2025-04-19,barrie,44.393673,-79.66312,America/Toronto,17.5,3.2,14.8,27.5,barrie_weather_2026-04-12T17-07-49.json,14.3
2025-04-19,oshawa,43.90158,-79.09091,America/Toronto,20.7,6.0,2.3,24.4,oshawa_weather_2026-04-12T17-07-49.json,14.7
2025-04-19,toronto,43.690685,-79.41174,America/Toronto,20.0,6.6,20.4,20.7,toronto_weather_2026-04-12T17-07-49.json,13.4
2025-04-20,barrie,44.393673,-79.66312,America/Toronto,9.9,-0.9,0.0,21.0,barrie_weather_2026-04-12T17-07-49.json,10.8
2025-04-20,oshawa,43.90158,-79.09091,America/Toronto,11.1,0.9,0.0,22.7,oshawa_weather_2026-04-12T17-07-49.json,10.2
2025-04-20,toronto,43.690685,-79.41174,America/Toronto,8.9,1.4,0.0,16.7,toronto_weather_2026-04-12T17-07-49.json,7.5
2025-04-21,barrie,44.393673,-79.66312,America/Toronto,16.0,4.6,8.8,25.9,barrie_weather_2026-04-12T17-07-49.json,11.4
2025-04-21,oshawa,43.90158,-79.09091,America/Toronto,12.1,3.8,1.9,25.8,oshawa_weather_2026-04-12T17-07-49.json,8.3
2025-04-21,toronto,43.690685,-79.41174,America/Toronto,15.4,4.2,1.9,24.4,toronto_weather_2026-04-12T17-07-49.json,11.2
2025-04-22,barrie,44.393673,-79.66312,America/Toronto,8.4,3.4,0.0,29.0,barrie_weather_2026-04-12T17-07-49.json,5.0
2025-04-22,oshawa,43.90158,-79.09091,America/Toronto,13.2,4.8,0.0,26.2,oshawa_weather_2026-04-12T17-07-49.json,8.399999999999999
2025-04-22,toronto,43.690685,-79.41174,America/Toronto,13.7,6.1,0.0,24.1,toronto_weather_2026-04-12T17-07-49.json,7.6
2025-04-23,barrie,44.393673,-79.66312,America/Toronto,15.1,1.4,0.0,9.6,barrie_weather_2026-04-12T17-07-49.json,13.7
2025-04-23,oshawa,43.90158,-79.09091,America/Toronto,13.9,0.3,0.0,11.2,oshawa_weather_2026-04-12T17-07-49.json,13.6
2025-04-23,toronto,43.690685,-79.41174,America/Toronto,13.6,3.5,0.0,9.3,toronto_weather_2026-04-12T17-07-49.json,10.1
2025-04-24,barrie,44.393673,-79.66312,America/Toronto,20.4,6.9,3.4,14.3,barrie_weather_2026-04-12T17-07-49.json,13.499999999999998
2025-04-24,oshawa,43.90158,-79.09091,America/Toronto,21.0,5.2,0.0,12.3,oshawa_weather_2026-04-12T17-07-49.json,15.8
2025-04-24,toronto,43.690685,-79.41174,America/Toronto,20.7,6.8,0.8,12.7,toronto_weather_2026-04-12T17-07-49.json,13.899999999999999
2025-04-25,barrie,44.393673,-79.66312,America/Toronto,18.4,8.4,0.0,18.2,barrie_weather_2026-04-12T17-07-49.json,9.999999999999998
2025-04-25,oshawa,43.90158,-79.09091,America/Toronto,14.4,9.1,0.0,16.4,oshawa_weather_2026-04-12T17-07-49.json,5.300000000000001
2025-04-25,toronto,43.690685,-79.41174,America/Toronto,13.4,10.4,0.1,16.9,toronto_weather_2026-04-12T17-07-49.json,3.0
2025-04-26,barrie,44.393673,-79.66312,America/Toronto,12.2,3.5,7.3,33.2,barrie_weather_2026-04-12T17-07-49.json,8.7
2025-04-26,oshawa,43.90158,-79.09091,America/Toronto,11.7,5.1,2.1,35.1,oshawa_weather_2026-04-12T17-07-49.json,6.6
2025-04-26,toronto,43.690685,-79.41174,America/Toronto,11.7,5.2,2.1,32.3,toronto_weather_2026-04-12T17-07-49.json,6.499999999999999
2025-04-27,barrie,44.393673,-79.66312,America/Toronto,12.7,2.8,0.0,23.4,barrie_weather_2026-04-12T17-07-49.json,9.899999999999999
